REPORTER METABOLITES USING TEST TYPE: all
ID	NAME	COMPARTMENT	Z-SCORE	P-VALUE	NUMBER OF NEIGHBOURS	AVERAGE Z-SCORE	STD Z-SCORE	GENES
s_0753	glutathione	vacuole	4.2589	1.0271e-05	10	14.2929	2.2362	Seq_398,Seq_1236,Seq_2231,Seq_3160,Seq_3372,Seq_3625,Seq_5017,Seq_5227,Seq_580,Seq_620
s_1473	taurocholic acid	cytoplasm	4.2589	1.0271e-05	10	14.2929	2.2362	Seq_398,Seq_1236,Seq_2231,Seq_3160,Seq_3372,Seq_3625,Seq_5017,Seq_5227,Seq_580,Seq_620
s_1474	taurocholic acid	vacuole	4.2589	1.0271e-05	10	14.2929	2.2362	Seq_398,Seq_1236,Seq_2231,Seq_3160,Seq_3372,Seq_3625,Seq_5017,Seq_5227,Seq_580,Seq_620
s_0850	indol-3-ylacetaldehyde	cytoplasm	4.2498	1.07e-05	8	15.1897	0.53647	Seq_3511,Seq_594,Seq_3997,Seq_1427,Seq_5250,Seq_5169,Seq_4855,Seq_5413
s_1440	spermidine	extracellular	4.2317	1.1595e-05	16	12.5178	5.8386	Seq_127,Seq_21,Seq_1676,Seq_3680,Seq_932,Seq_3882,Seq_1475,Seq_1600,Seq_2532,Seq_517,Seq_1077,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_0021	(R)-carnitine	cytoplasm	3.9851	3.3725e-05	8	14.6209	4.8132	Seq_1407,Seq_127,Seq_4376,Seq_4174,Seq_1475,Seq_1600,Seq_2532,Seq_517
s_0563	D-glucose	cytoplasm	3.9036	4.7392e-05	22	11.1517	5.4631	Seq_847,Seq_4642,Seq_3380,Seq_1183,Seq_188,Seq_1160,Seq_4006,Seq_2192,Seq_4734,Seq_758,Seq_623,Seq_3712,Seq_1122,Seq_5493,Seq_4936,Seq_4945,Seq_4728,Seq_1204,Seq_1370,Seq_2990,Seq_3884,Seq_4552
s_0166	2-methylbutanal	cytoplasm	3.8862	5.0905e-05	11	13.2056	4.0411	Seq_461,Seq_3511,Seq_594,Seq_1427,Seq_1351,Seq_4456,Seq_4948,Seq_5221,Seq_5169,Seq_4855,Seq_5413
s_0558	D-galactose	cytoplasm	3.8857	5.1011e-05	12	12.9006	4.5997	Seq_2479,Seq_1935,Seq_847,Seq_1183,Seq_4006,Seq_1122,Seq_3332,Seq_4294,Seq_4936,xyl1,xyl1_2,xyl1_3
s_1439	spermidine	cytoplasm	3.627	0.00014339	20	11.0204	6.1237	Seq_127,Seq_21,Seq_1676,Seq_648,Seq_3680,Seq_932,Seq_1266,Seq_2030,Seq_3882,Seq_2877,Seq_1475,Seq_1600,Seq_2532,Seq_517,Seq_1077,Seq_1249,Seq_1764,Seq_3911,Seq_4278,Seq_4658
s_4034	Ala-Gln	extracellular	3.5842	0.00016908	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4035	Ala-Gln	cytoplasm	3.5842	0.00016908	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4037	Ala-Glu	extracellular	3.5842	0.00016908	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4038	Ala-Glu	cytoplasm	3.5842	0.00016908	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4040	Ala-Thr	extracellular	3.5842	0.00016908	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4041	Ala-Thr	cytoplasm	3.5842	0.00016908	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
s_4050	Ala-His	extracellular	3.5842	0.00016908	6	15	0	Seq_1784,Seq_1096,Seq_5359,Seq_1267,Seq_2862,Seq_3578
